key	value
1	N00001
2	N00002
3	N00003
4	N00005
5	N00006
6	N00007
7	N00008
8	N00009
9	N00011
10	N00012
11	N00013
12	N00014
13	N00015
14	N00016
15	N00017
16	N00018
17	N00019
18	N00020
19	N00021
20	N00022
21	N00023
22	N00024
23	N00025
24	N00026
25	N00027
26	N00028
27	N00029
28	N00030
29	N00031
30	N00032
31	N00033
32	N00034
33	N00035
34	N00036
35	N00037
36	N00038
37	N00039
38	N00040
39	N00041
40	N00042
41	N00043
42	N00044
43	N00045
44	N00046
45	N00047
46	N00048
47	N00049
48	N00053
49	N00054
50	N00055
51	N00056
52	N00057
53	N00058
54	N00059
55	N00060
56	N00061
57	N00062
58	N00063
59	N00064
60	N00065
61	N00066
62	N00067
63	N00068
64	N00069
65	N00070
66	N00071
67	N00072
68	N00073
69	N00074
70	N00075
71	N00076
72	N00077
73	N00078
74	N00079
75	N00080
76	N00081
77	N00082
78	N00083
79	N00084
80	N00085
81	N00086
82	N00087
83	N00088
84	N00089
85	N00090
86	N00091
87	N00092
88	N00093
89	N00094
90	N00095
91	N00096
92	N00097
93	N00100
94	N00101
95	N00102
96	N00103
97	N00104
98	N00105
99	N00800
100	N00801
101	N00802
102	N00900
103	N00901
104	N00902
105	N00903
106	N00904
107	N00905
108	N00908
109	N00909
110	N00910
111	N00911
112	N00912
113	N00913
114	N00914
115	N00915
116	N00916
117	N00917
118	N00918
119	N00919
120	N01800
121	N01801
122	N01802
123	N01803
124	N01804
125	N01805
126	N01806
127	N01807
128	N01808
129	N01809
130	N01810
131	N01811
132	N01812
133	N01813
134	N01814
135	N01815
136	N01816
137	N01817
138	N01818
139	N01819
140	N01820
141	N01821
142	N01822
143	N01823
144	N01824
145	N01825
146	N01826
147	N01827
148	N01828
149	N01829
150	N01830
151	N01831
152	N01832
153	N01833
154	N01834
155	N01835
156	N01836
157	N01837
158	N01838
159	N01839
160	N01840
161	N01841
162	N01842
163	N01843
164	N01844
165	N01845
166	N01846
167	N01847
168	N01848
169	N01849
170	N01850
171	N01851
172	N01852
173	N01853
174	N01854
175	N01855
176	N01856
177	N01857
178	N01858
179	N01859
180	N01860
181	N01861
182	N01862
183	N01863
184	N01864
185	N01865
186	N01866
187	N01867
188	N01868
189	N01869
190	N01870
191	N01871
192	N01872
193	N01873
194	N01874
195	N01875
196	N01876
197	N01877
198	N01878
199	N01879
200	N01880
201	N01881
202	N01882
203	N01883
204	N01884
205	N01885
206	N01886
207	N01887
208	N01888
209	N01889
210	N01890
211	N01891
212	N01892
213	N01893
214	N01894
215	N01895
216	N01896
217	N01897
218	N01898
219	N01899
220	N01900
221	N01901
222	N01902
223	N01903
224	N01904
225	N01905
226	N01906
227	N01907
228	N01908
229	N01909
230	N01910
231	N01911
232	N01912
233	N01913
234	N01914
235	N01915
236	N01916
